Name,Publisher
Kirbax the Kraklar,Marvel
Mister Moctezuma,Marvel
Non-Newtonian Annie,Marvel
William Henry Harrison,Marvel
Wormwhole Wodo,Marvel
Greyval Grimson,Marvel
Gudrun the Golden,Marvel
June Jitsui,Marvel
Magna Mind,Marvel
Mantor the Magician,Marvel
Mrrungo-Mu,Marvel
Peter Prescott,Marvel
Blockers Bots,Marvel
Chancellor Cassandra,Marvel
Henry Hayes,Marvel
Henry Hayes,DC
Herr Hitzig,Marvel
Pandora Peters,Marvel
Petras Petragon,Marvel
Subguardian Smasher-7,Marvel
Szandor Shaw,Marvel
Emit Erut-Uf,Marvel
Bennington Brown,Marvel
G'Uranthic Guardian,Marvel
World-Devouring Worm,Marvel
Mateo Maximoff,Marvel
Mister Mind's Cyborg,Marvel
Aaron the Aakon,Marvel
Billy Briggs,Marvel
Mister McFadden,Marvel
Smoke Scream,Marvel
Stuart Sarris,Marvel
Brandon Blake,Marvel
Dolph Dongen,Marvel
Kylie Kopelkin,Marvel
Wynona Wingfoot,Marvel
Tuatola T'Tuana Timon,Marvel
Mrs. Munroe,Marvel
Otkid the Omnipotent,Marvel
Shadow Slayer,Marvel
John Allen Adams,Marvel
Madame Curie Cho,Marvel
Daraxus Dax,Marvel
Mark Milton,Marvel
Stanley Stewart,Marvel
Thomas Thompson,Marvel
Mole Monster,Marvel
Frank von Frankenstein,Marvel
Horatio Huxler,Marvel
Howard Stark Sr.,Marvel
Klaus Krueger,Marvel
Klaus Kruptmann,Marvel
Niles Nordstrom,Marvel
Richard Rozy,Marvel
Urizen Ul'var,Marvel
Wonder Woman,DC
Dinah Laurel Lance,DC
Lois Lane,DC
Guy Gardner,DC
Zatanna Zatara,DC
Rachel Roth,DC
Ronald Raymond,DC
Mari McCabe,DC
Boston Brand,DC
Cassandra Cain,DC
Bernhard Baker,DC
Shiera Sanders,DC
Big Barda,DC
Wolfgang Winks,DC
Max Mercury,DC
Abigail Arcane,DC
Gorilla Grodd,DC
Henry Hall,DC
Hector Hall,DC
"Roy Raymond, Sr.",DC
Lana Lang,DC
Eve Eden,DC
Mark Mardon,DC
Giovanni Giuseppe,DC
Victoria Vale,DC
Rory Regan,DC
Dinah Drake,DC
Sargent Steel,DC
Frederick Freeman,DC
Granny Goodness,DC
Thomas Tresser,DC
Hans von Hammer,DC
Sapphire Stagg,DC
Henry Henshaw,DC
Felix Faust,DC
Sandra Wu-San,DC
Simon Stagg,DC
Tomar-Tu,DC
Terrence Thirteen,DC
Hannibal Hawkes,DC
Cameron Chase,DC
Samuel Scudder,DC
Valentina Vostok,DC
Hector Hammond,DC
"Thaddeus Sivana, Sr.",DC
Dane Dorrance,DC
Louise Lincoln,DC
Catherine Cobert,DC
Hop Harrigan,DC
Sonia Sato,DC
Bibbo Bibbowski,DC
Daniel Dunbar,DC
Scandal Savage,DC
Mister Mxyzptlk,DC
William Randolph Wintergreen,DC
Molly Mayne,DC
Mark Merlin,DC
Clifford Carmichael,DC
"Henry Heywood, Sr.",DC
Bette Sans Souci,DC
Anton Arcane,DC
Big Bear,DC
Biff Bailey,DC
Katherine Kane,DC
Mark Moonrider,DC
Traci Thirteen,DC
Joseph Jones,DC
Keith Kenyon,DC
Duela Dent,DC
Calvin Carson,DC
Elaine Marsh-Morton,DC
Lara Lor-Van,DC
Zilius Zox,DC
Zachary Zatara,DC
Borb Borbb,DC
"Roy Raymond, Jr.",DC
Glorious Godfrey,DC
William Walker,DC
Appa Ali Apsa,DC
Myra Mason,DC
Lazarus Lane,DC
Christopher Chance,DC
Robert Reed,DC
James Jordan,DC
Amy Allen,DC
Ramsey Robinson,DC
Sarah Simms,DC
Gardner Grayle,DC
Bonnie Baxter,DC
Rod Reilly,DC
Tawky Tawny,DC
Liri Lee,DC
Steven Smith,DC
Tweedledum and Tweedledee,DC
Wanda Wayland,DC
Funky Flashman,DC
Blinky Boylan,DC
"Pedro, Ghost Patrol",DC
Romat-Ru,DC
Dabney Donovan,DC
Virman Vundabar,DC
Thorndyke Thompkins,DC
Hugh Hazzard,DC
Lori Lemaris,DC
Dirk Davis,DC
Sharon Scott,DC
Mrs. McIlvaine,DC
"James Gordon, Jr.",DC
Silver St. Cloud,DC
